timestamp,sensor_id,cultura,temperatura,umidade,ph,luminosity,N,P,K,chuva_mm,produtividade_kg_ha
2026-01-01 05:19:00,S004,rice,20.87974371,82.00274423,6.502985292000001,26378.6,90,42,43,202.9355362,3931.48
2026-01-01 06:37:00,S001,rice,21.77046169,80.31964408,7.038096361,25191.4,85,58,41,226.6555374,3296.4
2026-01-01 07:10:00,S001,rice,23.00445915,82.3207629,7.840207144,42949.4,60,55,44,263.9642476,2997.49
2026-01-01 07:10:00,S004,rice,26.49109635,80.15836264,6.980400905,53570.9,74,35,40,242.8640342,3454.67
2026-01-01 09:58:00,S005,rice,20.13017482,81.60487287,7.628472891,39218.2,78,42,42,262.7173405,3174.64
2026-01-01 13:17:00,S008,rice,23.05804872,83.37011772,7.073453503,30638.1,69,37,42,251.0549998,3170.91
2026-01-01 14:01:00,S002,rice,22.70883798,82.63941394,5.70080568,47870.3,69,55,38,271.3248604,3716.69
2026-01-01 17:18:00,S009,rice,20.27774362,82.89408619,5.718627177999999,26559.7,94,53,40,241.9741949,3593.63
2026-01-01 18:55:00,S003,rice,24.51588066,83.53521629999999,6.685346424,36644.3,89,54,38,230.4462359,3821.12
2026-01-01 19:26:00,S002,rice,23.22397386,83.03322691,6.336253525,29314.5,68,58,38,221.2091958,3529.02
2026-01-01 20:21:00,S007,rice,26.52723513,81.41753846,5.386167788,62036.6,91,53,40,264.6148697,3591.75
2026-01-01 20:28:00,S008,rice,23.97898217,81.45061596,7.50283396,49564.3,90,46,42,250.0832336,3436.96
2026-01-01 21:07:00,S007,rice,26.80079604,80.88684822,5.108681786,54161.3,78,58,44,284.4364567,3284.05
2026-01-01 22:55:00,S002,rice,24.01497622,82.05687182,6.98435366,56992.7,93,56,36,185.2773389,4062.03
2026-01-01 23:27:00,S002,rice,25.66585205,80.66385045,6.94801983,78667.0,94,50,37,209.5869708,3506.12
2026-01-01 23:38:00,S004,rice,24.28209415,80.30025587,7.042299068999999,21983.0,60,48,39,231.0863347,3777.9
2026-01-02 04:07:00,S005,rice,21.58711777,82.7883708,6.2490506560000005,28916.9,85,38,41,276.65524589999995,3494.55
2026-01-02 06:34:00,S010,rice,23.79391957,80.41817957,6.970859754,34245.3,91,35,39,206.2611855,3961.78
2026-01-02 07:35:00,S003,rice,21.8652524,80.1923008,5.953933276,28054.4,77,38,36,224.55501690000003,3320.67
2026-01-02 07:48:00,S002,rice,23.57943626,83.58760316,5.85393208,28333.0,88,35,40,291.2986618000001,3249.85
2026-01-02 09:55:00,S010,rice,21.32504158,80.47476396,6.442475375,33723.0,89,45,36,185.4974732,3623.89
2026-01-02 11:05:00,S002,rice,25.15745531,83.11713476,5.070175667,29426.3,76,40,43,231.3843163,3359.17
2026-01-02 12:55:00,S001,rice,21.94766735,80.97384195,6.012632591,42428.9,67,59,41,213.3560921,3674.55
